nickname,ID,community
0,hario,FTH-M01,2
1,tokugawa,FTH-M02,2
2,iio,FTH-M06,0
3,iwakura,FTH-M07,1
4,kiriyama,FTH-M09,3
5,kubo,FTH-M10,0
6,takeuchi,FTH-M12,0
7,gujou,FTH-M14,3
8,sanada,FTH-M15,2
9,sugano,FTH-M31,2
10,ooiwa,FTH-M37,0
11,goya,FTH-F02,1
12,syungiku,FTH-F04,3
13,junsai,FTH-F05,3
14,syouga,FTH-F06,1
15,suika,FTH-F07,3
16,zukkini,FTH-F08,3
17,zenmai,FTH-F10,1
18,tamanegi,FTH-F11,2
19,taranoki,FTH-F13,2
20,taroimo,FTH-F14,2
21,tikori,FTH-F15,1
22,tyaibu,FTH-F16,2
23,tyorogi,FTH-F17,2
24,tougan,FTH-F18,3
25,fennel,FTH-F19,1
26,fukinotou,FTH-F20,3
27,fujimam,FTH-F21,3
28,mikan,FTH-F23,1
29,seror,FTH-F26,2
30,karin,FTH-F34,3
31,somuo,FTH-F31,3
32,mandoragora,FTH-F32,1
33,termeric,FTH-F36,3
34,kuwai,FTH-F37,2
35,usami,FTH-M25,3
36,okamura,FTH-M20,1
37,fujimame,FTH-F21,3
38,nagaoka,FTH-M21,3
39,aroe,FTH-F40,1
40,inaba,FTH-M23,2
41,serori,FTH-F26,2
42,manao,FTH-F30,2
43,watanabe,FTH-M19,3
44,agabe,FTH-F41,3
45,okuda,FTH-M24,0
46,uramurasaki,FTH-F42,3
47,nakahara,TRD-M05,0
48,ipomea,FTH-F43,2
49,karajium,FTH-F44,1
50,higuchi,NDM-M13,0
51,katsumatamodoki,FTH-M22,0
