transitions,prob_observation,2.5percentile,97.5percentile,significance
Start2AM,0.25,0.05,0.4,-
Start2AF,0.35,0.05,0.45,-
Start2AFI,0.35,0.0,0.3,*
Start2IM,0.0,0.05,0.4,*
Start2Inf,0.05,0.0,0.35,-
AM2AM,0.05152671755725191,0.034383954154727794,0.054441260744985676,-
AM2AF,0.04580152671755725,0.04202483285577841,0.06399235912129896,-
AM2AFI,0.03244274809160305,0.021967526265520534,0.04011461318051576,-
AM2IM,0.035305343511450385,0.039159503342884434,0.06017191977077364,*
AM2Inf,0.04198473282442748,0.029608404966571154,0.04775549188156638,-
AM2E,0.65,0.05,0.4,*
AF2AM,0.05725190839694656,0.04202483285577841,0.06303724928366762,-
AF2AF,0.05534351145038168,0.04393505253104107,0.06494746895893028,-
AF2AFI,0.03435114503816794,0.025787965616045846,0.04393505253104107,-
AF2IM,0.06297709923664122,0.044890162368672396,0.06685768863419293,-
AF2Inf,0.03148854961832061,0.03247373447946514,0.05157593123209169,*
AF2E,0.15,0.05,0.45,-
AFI2AM,0.04389312977099236,0.021967526265520534,0.04011461318051576,*
AFI2AF,0.030534351145038167,0.025787965616045846,0.044890162368672396,-
AFI2AFI,0.01431297709923664,0.011461318051575931,0.025787965616045846,-
AFI2IM,0.03435114503816794,0.024832855778414518,0.04297994269340974,-
AFI2Inf,0.02099236641221374,0.017191977077363897,0.03247373447946514,-
AFI2E,0.1,0.0,0.3,-
IM2AM,0.030534351145038167,0.039159503342884434,0.06017191977077364,*
IM2AF,0.05916030534351145,0.044890162368672396,0.06685768863419293,-
IM2AFI,0.033396946564885496,0.024832855778414518,0.04297994269340974,-
IM2IM,0.06679389312977099,0.04297994269340974,0.06399235912129896,*
IM2Inf,0.04198473282442748,0.027698185291308502,0.045845272206303724,-
IM2E,0.05,0.05,0.45,-
Inf2AM,0.03244274809160305,0.029608404966571154,0.04777936962750681,-
Inf2AF,0.046755725190839696,0.03247373447946514,0.05157593123209169,-
Inf2AFI,0.02385496183206107,0.017191977077363897,0.03247373447946514,-
Inf2IM,0.033396946564885496,0.027698185291308502,0.045845272206303724,-
Inf2Inf,0.039122137404580155,0.022922636103151862,0.04011461318051576,-
Inf2E,0.05,0.05,0.35,-
